time,energyk,p,total,error
0.20900000000000016,5021.966215822353,-43.827032150403646,4978.1391836719495,477.89529052876077
0.21000000000000016,5021.738751353585,-42.144001239549056,4979.594750114036,416.37422290862213
0.21100000000000016,5020.882829363169,-38.96728245388989,4981.915546909278,327.0474435905094
0.21200000000000016,5019.285569821516,-34.25979511009099,4985.025774711426,224.22742299298156
0.21300000000000016,5016.932813216729,-28.313901787406962,4988.618911429322,129.52917705361747
0.21400000000000016,5013.971863443686,-21.776578628761285,4992.195284814925,60.91357912014202
0.21500000000000016,5010.721534785639,-15.47866774285772,4995.242867042782,22.630313972652964
0.21600000000000016,5007.586274338115,-10.114832670539585,4997.471441667575,6.3936072404750695
0.21700000000000016,5004.905255969986,-6.001971996877008,4998.903283973109,1.202786043639679
0.21800000000000017,5002.837740767577,-3.0734329473445956,4999.764307820233,0.0555508036034537
0.21900000000000017,5001.357615944374,-1.0782812151591075,5000.2793347292145,0.07802789094533648
0.3000000000000002,5031.563772116411,-63.783386304001816,4967.78038581241,1038.1035383971634
0.3010000000000002,5031.92555837658,-69.78166479311311,4962.143893583467,1433.0847930198931
0.3020000000000002,5034.884407713721,-79.69424196978932,4955.190165743932,2007.9212460562776
0.3030000000000002,5039.768433837139,-91.01746338072677,4948.750970456413,2626.4630291594854
0.3040000000000002,5045.368779323443,-101.45479201425259,4943.913987309191,3145.6408195536087
0.3050000000000002,5050.555838801979,-109.55446775084971,4941.001371051129,3480.8382178465176
0.3060000000000002,5054.600195451009,-114.70215384555337,4939.898041605456,3612.2454028595525
0.3070000000000002,5057.184485467538,-116.88303956986998,4940.301445897669,3563.9173619089893
0.3080000000000002,5058.297293901034,-116.53976267037612,4941.757531230658,3392.185168347771
0.3090000000000002,5058.160527422689,-114.56900212575295,4943.591525296935,3181.9160183262916
0.3100000000000002,5057.223119270037,-112.29480592348865,4944.928313346549,3032.8906708559207
0.3110000000000002,5056.137806572186,-111.13210330980773,4945.005703262378,3024.3726736656085
0.3120000000000002,5055.588755393475,-111.89724572249932,4943.691509670976,3170.6460831337554
0.3130000000000002,5055.967348063965,-114.31340201074572,4941.653946053219,3404.262011160627
0.3140000000000002,5057.142712192717,-117.24849892210511,4939.894213270612,3612.70559835862
0.3150000000000002,5058.577426493771,-119.50371982298479,4939.073706670786,3712.0132188374114
0.3160000000000002,5059.69243207611,-120.42907176222856,4939.263360313881,3688.939400361434
0.3170000000000002,5060.166461883351,-120.06534361356815,4940.101118269783,3587.876032530524
0.3180000000000002,5060.0106674705185,-118.92529163832545,4941.085375832193,3470.932940833976
0.31900000000000023,5059.470540219037,-117.65346998724826,4941.817070231788,3385.253316412641
0.4000000000000003,5033.48006333708,-65.27316932167824,4968.206894015401,1010.8015881479255
0.4010000000000003,5034.950658284661,-71.18368259422337,4963.766975690437,1312.8320506173839
0.4020000000000003,5037.9681902283255,-79.11318270145833,4958.855007526867,1692.9104056141912
0.4030000000000003,5041.990729893377,-87.65539239046396,4954.335337502913,2085.2614009728813
0.4040000000000003,5046.329097372051,-95.51492714199787,4950.814170230054,2419.245850158145
0.4050000000000003,5050.344269649639,-101.80866229721839,4948.53560735242,2648.5837105842966
0.4060000000000003,5053.597139638083,-106.15869190444933,4947.438447733633,2762.716776649984
0.4070000000000003,5055.893250315766,-108.57931976532163,4947.313930550444,2775.8219140434667
0.4080000000000003,5057.234440844695,-109.30926960478335,4947.925171239912,2711.7877903925055
0.4090000000000003,5057.734366816331,-108.65552237912647,4949.078844437205,2592.9640838504006
0.4100000000000003,5057.543817473447,-106.90092279425372,4950.642894679194,2436.123845649147
0.4110000000000003,5056.802073914133,-104.25627009129283,4952.54580382284,2251.900734820402
0.4120000000000003,5055.613726419555,-100.85450275495954,4954.759223664595,2046.7278434301336
0.4130000000000003,5054.048404130521,-96.80804504483095,4957.24035908569,1828.3868911207153
0.4140000000000003,5052.163206956456,-92.28592089401411,4959.877286062441,1609.8321737151693
0.4150000000000003,5050.046383315813,-87.63138927698776,4962.414994038825,1412.6326731015474
0.4160000000000003,5047.870941155149,-83.42886692306666,4964.442074232083,1264.366084916722
0.4170000000000003,5045.926339061437,-80.43274357449323,4965.493595486943,1190.6919524186944
0.4180000000000003,5044.577827335069,-79.27587236314298,4965.301954971926,1203.9543287702768
0.4190000000000003,5044.1264487508315,-80.09759643186003,4964.028852318971,1293.9234654903926
0.5000000000000003,5051.319286676851,-108.5154158340685,4942.803870842783,3271.3971905690487
0.5010000000000003,5053.663698317607,-114.59736579049252,4939.066332527114,3712.911831696202
0.5020000000000003,5056.479266516014,-120.50902066465585,4935.970245851358,4099.8094163354845
0.5030000000000003,5059.412174749612,-125.81207383647859,4933.600100913133,4408.946598746088
0.5040000000000003,5062.21613548363,-130.29297273365154,4931.9231627499785,4634.455769965918
0.5050000000000003,5064.749965132758,-133.88010167379554,4930.869863458963,4778.975778182453
0.5060000000000003,5066.9385197999845,-136.566757533151,4930.371762266834,4848.091489826325
0.5070000000000003,5068.73600426605,-138.3864597101816,4930.349544555868,4851.185943574975
0.5080000000000003,5070.108957794418,-139.4057631446025,4930.7031946498155,4802.047231741361
